x1,x2,x3,x4,y1,y2,y3,y4,Score,Pass
"Hello Reggie. I am Jason and I will gladly help you. First, go to “Contacts” which has an icon with a figure of a person. Next, select the person’s name you want to modify the ringtone. Click “Edit” and scroll down until you see a section showing “Ringtone”. Finally, tap on the section and then select a ringtone.","Hello Jamie. I am Jason and I will gladly help you with this. First, go to ""Settings"" which is a grey gear icon. Next go to “Display” settings. In there, look for screen saver and then set it to the off switch. This way, your screen will not shut off while charging.","Hello Timothy. I am Jason and I will gladly help you with this. From the Home screen, choose Settings. Next, tap Mail, Contacts, Calendars. In the Accounts section, tap Add Account. Choose your email account type. Select Add Mail Account under the Mail section. Enter your account information. ","I think I'll be working as a help desk employee providing technical solutions to customers in need of an assistance. I want to be an Anywhere Expert because I believe I am tech-savvy and would like to help others. Also, technology is always advancing and I always to stay up-to-date.",0,0,0,55,,0
"Hi  miss Reggie , hope you are having a great day, follow the next steps
Go to the People app (also may be labelled Contacts) and select a contact
In contact details, hit the Menu button (three vertical dots in the top-right corner) and choose Edit (this step may be unnecessary on your phone)
Scroll down until you see Ringtone. Tap it and select a tone to play when they call. Please tell me if you have any inconvenience.","Hi miss Jamie , hope you are having a good day, please try doing a hard reset , following this steps Step 1: Press and hold the Lock/Wake button on the right side of your iPhone.

Step 2: At the same time, press and hold down the Volume Down button on the left side while keeping the Lock/Wake button pressed.

Step 3: Keep holding both the buttons until the screen turns black and then switches back on to display the Apple Logo.

Step 4: Wait for a couple of seconds until your iPhone boots up completely and displays the Lock screen.","Hi Sr, hope you are having a good,  i will help you with that,  please lets try following these steps , Step #1. Open settings app , Step #2. Now, Find “Accounts & 1word”, Step #3: See the screen below and tap on “Add Account”. Here you can pick Email services, for that you want to set up. Enter only Email and 1word. (See the Screen below) , Please tell me if you need asistance while looking for the options.","I will help customers to solve all their technologys troubles. I want to be an anywhere expert due all the time i solve problems of this kind for all the people , now that i see this options i think i could do the same but at the same time get some money for time , besides i love all the topics related with technology and learn all i can about it.",0,1,1,0,,0
"Hi Reggie, I will be more then happy to help you change your ringtone to the specific one you desire.","Hi Jamie, I will be more then happy to help you get your iPhone 7 screen to turn back on. ","Hi Timothy, I understand how fustrating it can be when trying to add an email on your iphone. I understand having the new iOS 11 can be a bit of a challenge to figure out.",I feel as an Anywhere Expert I will be assisting customer's with trouble shooting with any concerns they may have with their specific products. I will like to be an Anywhere Expert due to my 1ion to help people. I get great satisfaction in knowing I'm adding a little bit of joy to a person home may be experiencing a bit off difficulty with something.,0,0,0,31,,0
"Hello Reggie, my name is Mike. I'm happy to help you change the ringtone of a specific contact. First Go to Phone. Then you want to go to Contacts then select person(whoever the specific contact is), then select ""Details"" which is the info sign. Then hit ""Edit"" which should be at the top of your screen. Hit ""View more"". which is usually above ""scan business card"". Scroll down and you will see ""ringtone"". Click that . Click yes on ""allow permission 1st time"" and it will bring up tones for you. Just select the tone you want and click OK and you are finished. Let me know how it works out Reggie.

If you still need help, let me know, are there any other issues I can help you with?","Hello Jamie, my name is Mike, and I would love to help you with your black screen issue with your iPhone 7. First, I want to ask, have you recently dropped it or did the phone get wet? If yes to any one of those, please take your device to your nearest Genius Bar at a retail Apple store. They can help you replace any cables that were dislodged or broken in the process. You must tell them that your phone was dropped and/or got wet.

However, if you have NOT dropped the phone or got it wet, then a simple fix is by holding the power button and ""volume down"" button at the same time, and hold for 4 seconds. This will reboot it or it will shut it off. If it reboots then it should be fine now. If the screen turns on for a few seconds, then turns off again, then you can hold the power button to turn it on again. Make sure you see the apple logo. Did this fix your issue? Let me know and we can walk through it together

If you still need help, let me know, are there any other issues I can help you with?","Hello Timothy, my name is Mike and I'm happy to help with adding Outlook email to your iPhone. 

First we must confirm the iOs version you have. We can do that by first going to the home screen of your iphone and clicking ""settings"" icon. It should have some gears in the logo.  Click on general, click on ""About"". On the bottom it should say ""version"". Please tell me the version number it says there. 

If it is 11 than we can add Outlook by first going to your home screen on your iPhone. Then find and click on ""Settings"" app. Scroll down and select ""Accounts and 1words"" there should be a key icon. Click ""Add account"". Then tap ""Outlook.com"". There will be permissions prompts and you can simply tap ""yes"" on all of them. Then it will ask for your email address for Outlook and the 1word, add that in. It will again ask for permission to sync contacts, tap ""yes"" again. You can choose which apps can access and sync with it, there will be a list:  Mail, Contacts, Calendars, reminders, notes. The button to the right is green if it is selected. Always make sure that ""Mail"" is selected to receive all your emails. Once that is done tap ""save"" in the upper right and you are finished!

If you still need help, let me know, are there any other issues I can help you with?
","I will be providing technical support for people's devices, specifically smartphones. I will help with all sorts of software and even hardware issues. And always providing the best customer support. 

I want to be an Anywhere Expert because I am always helping people with their technical problems. Even if its a device I never used before I can research how to fix it and resolve it. I am always good with computers and smart phones and am a fast learner. When I was younger I helped volunteer with helping the elderly learn to use smartphones",1,1,1,70,,1
"Hello Reggie my name is Erica and I would be glad to assist you with changing the ringtones for specific contacts. Here are the steps. Assign a Personal Ringtone
From the Home screen, touch Apps.
Touch Contacts.
Touch the desired contact.
Touch EDIT to edit the contact's information.
Scroll to and touch Ringtone.
Touch the preloaded ringtone you want to use and touch OK, or follow the instructions below to use a custom ringtone.","Hello Jamie I am sorry that you are experiencing technical issues with your iphone. I will be glad to help you resolve your issue. Can I have you pmress and hold the Volume Down button and the Power key (sleep/wake button) together for 15 to 20 seconds. If there's enough battery left to power the device on, the white Apple logo will appear. When this happens, release both keys and wait until the device reboots completely.","Hello Timothy thank you for contacting us. I will be glad to assist you with adding your outlook account to your iphone. Here are the steps to get you going Launch Safari on your iPhone or iPad
Go to Outlook.com
Log in to your Outlook account.
Choose whether or not you want Safari to remember your Outlook username and 1word.
That's it, you can use a slimmed down mobile version of Outlook webmail anytime, anywhere. Can I help you with anything else?",I will be helping everyday people just like myself work out the kinks with their gadgets. Taking them step by step to resolve issues and doing research myself to accurately be able to assist them. I would like to be a Anywhere Expert because I enjoy helping people and educating myself at the same time. I know first hand how hard it can be to reach the internet with there being so much information out there it can be a bit overwhelming so I want to ease the stress.,0,1,0,67,,0
go to contacts go to the contact you want to add a ringtone click on edt and you should see ringtone ," Check your charging cable and USB adapter for signs of damage, like breakage or bent prongs.* Don't use damaged accessories.
Use a wall power outlet and check for firm connections between your charging cable, USB wall adapter, and wall outlet, or try a different outlet. 
If your device still won’t power on or charge, take your device, charging cable, and charging adapter to an Apple Retail Store or Apple Authorized Service Provider for evaluation",go to settings >Accounts and 1words > add account > thean you should be able to add outlook.com,"i would be a anywhere expert chat agent 
i like to help people with there tech problems  ",0,0,1,0,,0
"Hello, my name is Teresa. Glad that I can help you today. The first thing you want to do is go to your contact, once you are on the person's contact info, then click on edit,  scroll down to ringtone, then you can change your ring tone to your choice.


","Hello, my name is Teresa and I will be assisting you today. Seems like you are having trouble with your IPhone 7.  I have the same phone and this happened to me before. What you want to do is first is to force restart your phone. Press and hold both the Side and Volume Down buttons for at least 10 seconds, until you see the Apple logo. If your phone still wont turn on or start up, then plug in your phone and let it charge up for about an hour.After a few minutes you should see the charging screen. Once its been charging for a hour, and you still don't see the charging screen then check the jack, USB cable, and power adapter.","Good morning, My name is Teresa and I will be assisting you today. I see you have an issue with adding your Outlook.com email to your new IPhone. It seems like you have the ios 11. Great phone by the way. If you email acct is hosted by Microsoft on Outlook.com or Office 356, you might see an error message when trying to send an email with ios 11. What you will need to do is update to ios 11.01 or later.Make sure your phone is using Wi-Fi.Then you would want to make a backup of your device using ICloud or Itunes. Next go to your setting, then click on general, then go to software update and click on install now. It would usually take about 15 minutes for the download to be completed. If message appears asking to remove apps because ios needs more space, click continue or cancel.  Later will reinstall apps that it removed.",As an Anywhere Expert I will be expected to answer tech questions. I would love to work for Anywhere Expert to use my customer experience by helping people and applying my knowledge of dealing with tech issues. I also like being able to make my own schedule and being able to work from home.,0,1,0,79,,0
"In their contact details, press Edit in the top right corner. Scroll down until you see Ringtone and Vibration. Tap on either option to select which sound plays and the pattern of vibration for when this contact calls. Below this, you can repeat the process for messages, by select Text Tone and Vibration.","Restart the phone. To do this, hold down the on/off button at the top right corner or the right edge of the phone for a few seconds. If the phone is off, it should turn on. If it's on, you may see the slider offering to turn it off","How to add Outlook mail

Launch the Settings app on your iPhone.
Tap on Mail, Contacts, Calendars.
Tap on Add Account.
Tap on Outlook.com.
Enter your Outlook.com username and 1word and then tap Next in the upper right hand corner.
Choose the services you'd like to enable and sync with Outlook and then tap Save in the upper right hand corner.
","I'll be helping people solve their technical issues and other technology related questions. It's fast, convenient, and an easy way to provide my technical expertise.",0,0,0,100,,0
"Hi my name is Alex I would be happy to help you with that

First thing first go to the name of the contact you wish to change
Once you have done that in the upper right hand corner of the contact you should be able to see. A little. Pen icon

Click on the pen when you do that your in editing mode 

Scroll down to contact ringtone when you click on that option it will allow you to set the ringtone for that contact you can either choose music on your phone or ringtones you have downloaded from there all 
You have to do is save when you done choosing your ringtone now your contact has been update with your new ringtone 
Is there anything else I can help you with today ?
Ok no problem 
Have we addressed everything ?
Thank you for choosing anywhere expert have a. Wonderful day","Hi Jamie my name is Alex I will be glad to help to help you 

I have a quick fix. For your problem 
We may get disconnected during this process 
1. Connect the iPhone's USB cable to your computer, but not your iPhone.

2. Turn your iPhone off. If the phone won't turn off in the traditional manner, just keep holding the buttons until the screen goes dark.

3. Once you've turned the device off, press the home button on the face of the device and plug in the USB cable to the device's dock connector.

4. When it turns on, keep pressing the home button until the iTunes logo appears on the screen.

5. You'll know the phone is now in recovery mode because a window in iTunes will tell you.

6. You can then start the restore process by clicking the ""Restore"" button in the iTunes window.

Once you have completed this set of instructions you iphone will be back to working order 

Have I addressed your concerns and issues today?



Ok Jamie it was a pleasure helping you today you have a wonderful evening good bye","Hi Timothy my names Alex I will be happy to help 



If you follow this instructions you will have it installed on your phone in a matter of minutes 

Launch the Settings app on your iPhone or iPad.
Tap on Mail, Contacts, Calendars.
Tap on Add Account.
Tap on Outlook.com.
Enter your Outlook.com username and 1word and then tap Next in the upper right hand corner.
Choose the services you'd like to enable and sync with Outlook and then tap Save in the upper right hand corner.

Now once you have completed this you should see the outlook app show up on on your home screen 

I suggest to give it a minute or two for your email to sync on your phone. 
Have I addressed your concerns and issues today Ok thank you so much Timothy you have a pleasant day .",What I'll be doing as an anywhere expert it's helping normal people with their technical questions it could be anywhere from how do I setup my email or how do I download a game on my phone ghost Tech questions are easy to help I've been a programmer for almost 6 years I messed with Android and iPhones as well when I found this app I didn't think it would be true but and a Spirit of Hope I know I can apply my knowledge to help people what their concerns and issues,0,0,0,82,,0
"Hi Reggie! I’d be happy to help! To change the ringtone of a specific contact you should go into your contacts album and find the person name you want to change the tone of, then there should be edit options under there name and one of those options should be to change the ringtone or text tone of them! ","Hi Jamie! Sorry to hear that! First I would unplug the iPhone from its cable and try turning it back on, if a empty battery shows on the screen that means your charger probably wasn’t working and needs to be replaced. ","Hi thimothy! There should be many ways to go about adding your email, the best one would probably be to go into the App Store and download the email app, from there it will ask you which email service you use and ask you to type in your log in information ","I think that I will be helping out people that don’t understand the use of technology very well. I like helping people and technology is always a given to me.  My mother is always calling me asking me to help with with something or look at something, if I don’t know it I can figure it out, I’d love to work with you ",0,0,0,36,,0
